food_name,cluster_id
크림참치베이글샌드위치,1181
닭가슴살겨자냉채,2303
코울슬로,383
메밀국수,413
바나나타르트,3779
파프리카참치전,784
피자샌드,105
블루베리머핀,1552
초코식빵,771
파프리카전,784
맛살계란말이,2661
아이스크림크레이프,3389
에스프레소브라우니,1546
어니언스테이크,1072
나초피자,105
스팸두부전골,4765
치즈고로케,2156
애플푸딩,2235
미니스카치에그,3358
스팸야채튀김,2229
감자샐러드샌드위치,282
감자샐러드튀김볼,2389
우렁이무침,4174
오징어백숙,1636
카레보트,377
해물김치리조또,2972
해물된장찌개,2239
스테이크,4714
카레실파전,3921
모카파운드,419
닭가슴살스테이크,129
함박돈까스,1364
두부샐러드,8
닭안심볶음,1229
애호박전,507
떡갈비밥샌드,809
핫도그,223
구운가지샐러드,1120
허브떡케익,1755
파프리카스파게티,784
새송이버섯구이,4381
훈제연어샐러드,3821
훈제연어초밥,580
귤,650
야채초무침,1609
닭가슴살군고구마샐러드,847
오믈렛샌드위치,3481
고구마줄기고등어조림,3121
콩국수,811
치즈계란토스트,2775
단호박컵피자,4883
바나나튀김,4960
바나나핫케이크,2435
야채어묵튀김,2032
꼬마참치주먹밥,1180
생선전,406
묵은지참치볶음,1194
곤약초밥,4383
깻잎쌈밥,4021
김밥,2408
바질페스토파스타,1583
그라탕,2708
아귀찜,1661
새우오믈렛,4711
미트볼튀김,2104
구겔호프,546
참치피자,4430
맛밤롤빵,3182
가지고추장볶음,1241
옥수수치즈피자,4072
닭찜,3980
채소무침,3904
두부케첩조림,2601
마들렌샌드,2959
야채튀김,2032
김치부침개,2654
감자파프리카덮밥,1169
오징어채볶음,4161
크림치즈파운드케익,191
치아바타샌드위치,1232
딸기쨈브래드,4685
도라지무침,1117
돼지고기가지볶음,2672
콩나물야채어묵무침,2467
파프리카볶음밥,1169
치킨오븐구이,2583
피넛버터바나나토스트,11
감자버거,1893
크림스튜,2465
토마토소스,2178
치킨마요,4826
크래커,845
베이글샌드위치,1181
박나물볶음,424
삼색경단,484
홍합초,3214
연어데리야끼,628
파스타샐러드,2463
그린티요거트케이크,1320
야채치즈구이,540
게살야채춘권,2687
치아바타,1221
탕수육,4139
옥수수수제비,638
양파물,853
감자국,308
간장어묵볶음,1081
버터밀크와플,2652
가지볶음,4011
라이스그라탕,2055
오디파운드,2751
비엔나파프리카볶음,521
고등어고추장강정,1080
아포카토,3692
연어또띠아롤,4140
감자고로케,1430
크랜베리초코칩스틱,1191
계란말이,2154
홍차스콘,1150
두부간장조림,487
기름떡볶이,1927
묵은지닭매운탕,1194
녹차젤리,2617
검은콩국수,1939
찬밥동그랑땡,4680
상추쌈밥,1387
호두과자,1356
닭고기완자,2713
크림치즈아이스크림,2449
삼치강정,2816
북어국,962
감자소세지오믈렛,1698
계란볶음밥,4444
딸기쨈머핀,4685
오디타르트,2751
채소샌드위치,4121
마늘빵,1173
도참돼지고기제육볶음,4116
소세지캐비지롤,173
군만두,754
베리베리치즈타르트,2058
베이글바나나토스트,11
느타리버섯두부조림,259
전복회,1405
연유바게트,785
고등어조림,2604
감자볶음파스타,269
과일피자,105
핫케이크,2105
단호박찹쌀도넛,1565
허니레몬티,4808
토마토피클,1357
돼지고기김치말이,1030
파프리카햄전,784
애호박양파볶음,441
코코넛,2014
콩나물쫄면,2996
미트볼,2104
전복샐러드,2997
얼그레이샤베트,2849
크로크무슈,4677
껍질콩새우볶음,562
이까슈마,3317
스위트콘피자토스트,1801
호밀쿠키,676
날치알밥,816
홍차브라우니,1150
초코모카스콘,1860
문어꽈리고추조림,337
깻잎찜,4148
나물,3609
부추잡채,4929
카레피자,2195
낙지볶음,2088
콩나물문어죽,2996
새우튀김,2723
양파튀김,3932
밤전복죽,3362
순대볶음,1933
감자멸치고추장찌개,1588
수박빙수,2622
닭가슴살파프리카샐러드,847
핫도그번,223
짜장밥,1993
바질피자,3472
아이스크림호두와플,232
비빔만두,1891
탕,296
단호박스콘,2020
햄버거,212
옥수수머핀,638
사과치즈타르트,2524
고구마카레,705
버섯두부구이,3477
참치카레스파게티,4353
도라야끼,2563
해물짬뽕,1166
닭갈비,2313
장어탕,1398
장어구이,1398
당근케이크,2675
식빵러스크,2772
찹쌀호떡,2019
골뱅이비빔국수,3944
연어초밥,1945
피자만두,105
이까슈마샐러드,3658
레몬에이드,4247
허브참치구이,933
해물순두부,4227
크림치즈타르트,2449
해물된장리조또,1255
골뱅이무침쫄면,1757
해물동그랑땡,3832
옥수수버터구이,2150
코코넛쿠키,4169
더덕고추장구이,2892
병어매운탕,1482
깻잎순나물,2646
닭케첩볶음,3352
애호박느타리버섯전,4724
간짜장,1215
머핀케이크,1474
호두쿠키,4449
더덕고추장무침,15
오이피클,2367
박나물소고기볶음,4508
안동찜닭,1005
짜장떡볶이,3782
냉라면,357
피넛버터파운드케이크,1435
올리브스콘,339
스노우모카볼,2097
오디머핀,2211
어묵파프리카볶음,521
홍합미역국,2135
새우마사고구이,3193
후르츠파운드,582
가지찜,1057
우동파프리카볶음,521
브로콜리스프,251
양파장아찌,485
해물순두부찌개,2338
바나나잼,514
맛살냉채,3223
미트볼토마토스파게티,2777
오징어먹물쿠키,2651
연근조림,1359
스파게티,3421
요거트무스,1443
갈릭스파게티,2647
전복새송이버섯볶음,2810
견과류고구마밤맛탕,1944
크림치즈스콘,787
깐풍더덕,2924
돼지고기주물럭,1827
단호박샐러드그라탕,2933
건포도통밀빵,1011
팝콘치킨,1990
새우알탕,3856
새우탕,3856
동그랑땡,482
삼색약식,2648
전어회무침,3719
두유마요네즈,4109
파인애플카레볶음밥,1362
돼지갈비,2146
새우완자찜,241
바나나샌드위치,1823
크림치즈트위스트빵,3939
오징어다시마조림,601
콩자반,3863
치즈머핀,2316
사과파운드케이크,2253
두부라자냐,1249
약과,1403
밤송편,533
두부호밀쿠키,4096
새우샐러드,3273
통밀와플,815
전어구이,4926
복숭아병조림,3277
야채덮밥,1564
크림치즈스프링롤,2564
녹차티라미수,2617
미트로프,2111
녹차카스테라,4037
배샐러드,2997
배냉채,1452
잣죽,1601
부침개,3463
두부탕,1688
커스터드크림,1028
요구르트스콘,579
청양고추볶음밥,3158
식빵튀김,144
밤샐러드,1668
치즈떡볶이,317
모카초코칩쿠키,3514
고구마몽블랑케이크,3597
단호박 밤머핀,1565
배샤베트,1635
오징어고추전,1636
미숫가루초코칩쿠키,3999
토마토피자토스트,1357
두부생채,3645
복숭아푸딩,80
갓김치전,1643
비엔나케첩볶음,2764
두부해물찜,3
티라미수,595
커피젤리,2126
고구마찜케이크,3722
새우샌드위치,3413
소라초무침,2814
다시마야채쌈,537
단무지무침,4252
고등어양념구이,4881
야채치즈계란찜,1199
꽃게무침,927
참치감자애호박찌개,4374
포도화채,1234
순두부국,1390
두부고추장조림,487
누텔라케이크,724
고추장돼지불고기,2973
떡갈비찜,2219
고구마스틱,1211
오징어무국,207
고구마조림,3116
사과케이크,1906
녹차초코칩샤브레,1176
무생채,327
배추쌈,2578
반건조오징어무침,2682
마늘새우튀김,2723
문어초무침,3874
오이배김치,890
고구마머핀,1016
고구마빠스,698
고구마칩,1211
불고기,2835
밤파운드,1620
낙지볶음덮밥,3656
카레라이스,39
어묵야채볶음,314
호두구겔호프,1356
땅콩쿠키,1478
고구마샌드위치,3646
고구마야채볶음,1152
사과빠스,3598
밤맛탕,1469
반건조오징어김치부침개,2654
만주,3707
날치알주먹밥,3532
닭봉콜라조림,2732
복숭아스무디,4888
고구마컵케이크,3722
리코타치즈샐러드,614
밀크티스콘,2668
돼지고기수육,4116
옥수수유부초밥,604
해물피자,3423
감자칩,1893
배스무디,2684
밥새우볶음,2541
돼지고기굴소스볶음,135
날치알오이롤초밥,816
토마토주스,2007
돼지고기고추장찌개,591
고구마버터구이,1211
연근정과,2082
까르보나라,1338
명란젓두부찌개,4402
커피마들렌,2959
커피피칸스낵,2126
고구마크로켓,1477
콩나물해물찜,4456
포도쨈,1234
우엉채조림,2940
치즈감자샐러드샌드위치,1672
감자마카로니샐러드,1346
꽈리고추멸치볶음,1626
양장피,3246
오징어롤야채조림,1350
새우동그랑땡,4711
바베큐치킨,2250
소라무침쫄면,2814
토마토치즈토스트,4327
브로콜리볶음,369
갈치찌개,692
단호박지짐,2020
고추장불고기,2973
오이장아찌무침,3337
치킨너겟,1639
크림소스오므라이스,4204
감자볶음,269
고구마라이스그라탕,727
야채두부,3166
초콜릿마블치즈케이크,3094
고구마푸딩,1211
사과쨈,2208
생선커틀릿,3943
고구마맛탕,2721
주먹밥,4441
김치볶음유부밥,198
샐러드롤,2997
김치쌈밥,2402
키조개볶음밥,4840
깨찰빵,674
허브쿠키,2124
나쵸치즈구이,435
수삼꿀절임,3869
비빔국수,1671
짜사이무침,3530
녹두빈대떡,2699
고구마오븐스파게티,4651
단호박케이크,1087
잔멸치볶음,2410
된장찌개,2812
카레간장조랭이떡볶이,4518
타르트,1361
겨울초무침,1637
휘낭시에,4023
밤당근죽,3362
아몬드튀일,4380
호박케이크,2675
체다치즈스콘,875
당근쉬폰,625
올리브식빵,4093
카라멜마블파운드케이크,3648
카라멜초코스콘,1124
단호박호두파운드케이크,2485
고구마죽,2328
소세지양파샌드위치,4349
카레밥전,1803
짜춘권,3459
고구마치즈머핀,1016
올리브포카치아,2831
초코수플레,4177
팥와플,2636
밤만주,2994
울면,4258
냉스파게티,1224
토마토브루스케타,471
참치,783
녹차크랜베리머핀,1552
치킨텐더,4961
양송이버섯덮밥,1163
고구마간장조림,3116
주꾸미삼겹살,346
동태찌개,692
감자채볶음,2319
고구마복숭아잼호떡,3198
숙주볶음,2413
팥칼국수,1391
마카로니샐러드,1346
야채참치,1190
데리야끼소스,876
에스프레소초코머핀,2446
소세지덮밥,4781
소고기고추장볶음,1115
호두멸치고추장볶음,3471
요구르트샤베트,4307
허브양파빵,2397
닭다리튀김,978
과일누룽지탕수육,4516
감자당근브로콜리죽,3773
사과장아찌,775
더덕구이,1706
LA찹쌀마들렌,2740
묵은지고등어조림,4293
계란죽,1042
어묵짬뽕국밥,1535
팟타이,4500
홍시샤벳,4268
간장떡볶이,2310
곤드레밥,979
바닐라엑스트랙,3956
금태,2842
단호박컵케이크,1087
고구마카레라이스,705
고구마돼지갈비찜,3116
스위트포테이토,1248
미니돈까스꼬치,2272
아몬드비스코티,4380
어묵두반장볶음,1545
새송이버섯된장구이,4381
고구마브로콜리전,3284
허니버터토스트,682
두부버섯샐러드,8
취나물볶음,424
굴무침,1046
굴깍두기,1463
북어배추국,962
오븐계란찜,491
꼬막무침,2142
녹차쿠키,2224
백련초소보루머핀,2446
비프스트로가노프,1322
페스츄리스테이크,3152
과메기구이,1228
쌀국수볶음면,849
고구마옥수수샐러드,1012
치킨스테이크,494
치킨그라탕,4738
너비아니구이,1269
카레죽,2078
과일샐러드,3007
고구마야채빵,1152
딸기롤케이크,645
딸기우유푸딩,4545
아몬드우유머핀,1833
오트밀베이글,4473
총각김치,1759
밥새우김밥,3455
밥새우계란말이,2878
쿠흔,1375
아몬드멸치볶음,2756
단호박과일토스트,2020
고구마토스트,3380
사과파이,348
부대라면,4713
사천해물볶음밥,3835
달걀돈까스,4538
아이스크림와플,232
오렌지휘낭시에,3365
생크림스콘,2535
피망볶음덮밥,684
구이밥,3486
고구마구이,1211
그린티타르트,1361
미니초코머핀,1051
가래떡꼬치,3197
메추리알장조림,1342
멸치고추장무침,15
떡꼬치,3197
꽃게탕,4681
감자샐러드,3210
두부전,4727
두부죽,1688
밥새우깻잎찜,2207
밥새우감자전,3933
어묵멸치볶음,2533
파래무침,1193
닭조림,1846
양파스프,213
러스크,1108
후르츠머핀,3181
타코야끼,911
고구마사과파이,3852
씨리얼튀일,1223
시리얼샐러드,1795
마늘종불고기,1614
된장칼국수,4136
고추참치주먹밥,2256
요구르트케이크,4307
소시지케첩볶음,1203
씨리얼오믈렛샐러드,1223
콩나물어묵국,4371
해물우동,3832
크림치즈피칸빵,3939
계란후라이,2455
프렌치토스트,4843
그린티마블사브레,2007
바나나초콜릿크레이프,4529
고추장김치찌개,3162
오이지무침,835
마른새우볶음,2384
바나나주스,4070
과자,3062
닭강정삼각김밥,2925
야채죽,2140
묵보쌈,1201
사과스콘,4741
야채스프,2140
굴스파게티,2647
김치만두전골,2929
통삼겹구이,4532
조개미역국,2393
한천두부,1688
소고기미역국,834
콩모듬백이,4857
통밀스콘,815
호두롤치즈빵,132
소고기장조림,4398
밥,3486
멕시칸샐러드,2566
토마토에그스크램블,1838
만두국,4262
삼색마들렌,2648
쇠고기두부덮밥,3065
쇠고기굴소스볶음,135
불고기버거,3177
블루베리팬케이크,4815
가나슈초코슈가볼,2478
생크림핫케이크,752
딸기잼쿠키,3992
동부묵,1842
부추고기만두,967
단호박푸딩,2020
소시지달걀말이,2609
밤카스테라,4037
갑오징어아스파라거스볶음,288
전,1405
청경채피망볶음,626
햄버그스테이크,2323
콩나물미더덕찜,1384
황태구이,1703
아스파라거스샐러드,1828
파인애플스프링롤,4190
샤오마이,4901
토마토소스홍합찜,3125
굴미역된장국,2917
무조림,2834
커리치킨샐러드,3981
수플레치즈케익,4903
치즈당근케이크,68
굴무채국,1046
단호박찹쌀전병,1565
초코볼,4177
당근컵케이크,2675
어묵잡채,1433
고구마바나나빵,3996
마론파운드케이크,1435
크리스마스케이크,2943
피자,105
프라이드치킨,2656
와인소스,4172
유자머핀,2698
굴만두,76
슈톨렌,4453
파리브레스트,281
피넛청크쿠키,1853
베이컨감자빵,2159
